id	created_at	updated_at	age_min_days	age_max_days	required_measurement_snomed_concept_id	medical_standard	clinical_rationale	is_required	effective_date	expiration_date	active
73705b74-d0f0-4f76-af7d-8ad4337d1603	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	1153637007	WHO_2023	Height measurement for toddler growth monitoring per WHO growth charts	t	2025-10-07		t
c4a678bd-45ce-4343-9857-b575feb0f77d	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	363812007	WHO_2023	Head circumference for brain development monitoring in early childhood (measured until 3 years)	t	2025-10-07		t
f395f92e-f65c-437e-b525-f5b5371d6cf6	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	90	1825	284473002	WHO_2023	Mid-upper arm circumference for malnutrition screening per WHO guidelines; <115mm indicates severe acute malnutrition	t	2025-10-07		t
05d7b312-24d1-421c-ad42-4deb6adea625	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	90	1825	301851003	WHO_2023	Triceps skinfold for nutritional assessment in young children per WHO standards	t	2025-10-07		t
3486cf80-137c-403a-8425-8af3d850b795	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	8499008	PALS_2025	Heart rate monitoring for preschool patients per PALS 2020-2025 guidelines	t	2025-10-07		t
dc00271a-12fe-451e-851f-73273f9c75f2	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	86290005	PALS_2025	Respiratory rate monitoring for preschool patients per PALS 2020-2025 guidelines	t	2025-10-07		t
4f55c8b0-9501-44cf-b7ae-608ab85f14a4	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	722490005	PALS_2025	Temperature monitoring for preschool patients	t	2025-10-07		t
14056391-3424-4554-bc23-610c978bad2b	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	103228002	PALS_2025	Oxygen saturation monitoring for preschool patients	t	2025-10-07		t
5e731bbb-18b7-4900-94cd-d9cda9ff2ea6	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	363808001	WHO_2023	Weight measurement for preschool growth monitoring and BMI calculation	t	2025-10-07		t
e6841c9b-1794-481e-9a44-ec435f0b9404	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	1825	1153637007	WHO_2023	Height measurement for preschool growth monitoring; required for blood pressure percentile calculation	t	2025-10-07		t
6e24d5d6-2a53-4cd4-8998-f57cbcd7cd34	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	4380	271649006	AAP_2017	Systolic blood pressure screening begins at age 3 per AAP 2017 guidelines; annual screening required	t	2025-10-07		t
787253bf-321e-42e6-9386-a201ed8866cb	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1096	4380	271650006	AAP_2017	Diastolic blood pressure screening begins at age 3 per AAP 2017 guidelines; annual screening required	t	2025-10-07		t
9e5a2d8e-e359-4afe-97fa-58ccd3d116ba	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	8499008	PALS_2025	Heart rate monitoring for school-age patients per PALS 2020-2025 guidelines	t	2025-10-07		t
78ea5525-7e81-41b9-82c5-70bad6007609	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	86290005	PALS_2025	Respiratory rate monitoring for school-age patients per PALS 2020-2025 guidelines	t	2025-10-07		t
332ec629-cbca-41d7-9ccc-969f2b141306	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	722490005	PALS_2025	Temperature monitoring for school-age patients	t	2025-10-07		t
cf667292-af34-48b4-a468-7bfd9d512fa5	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	103228002	PALS_2025	Oxygen saturation monitoring for school-age patients	t	2025-10-07		t
84e5d16c-4520-45b6-b23a-1aff13680ba3	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	363808001	WHO_2023	Weight measurement for school-age growth monitoring and BMI calculation	t	2025-10-07		t
2b8a5afe-5b6e-4970-9a0b-f2d602d373aa	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	1826	4380	1153637007	WHO_2023	Height measurement for school-age growth monitoring; required for BP percentile calculation per AAP guidelines	t	2025-10-07		t
8fe493b0-2e5a-4947-958b-da382b933371	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	8499008	PALS_2025	Heart rate monitoring for adolescent patients per PALS 2020-2025 guidelines	t	2025-10-07		t
c8fef3ea-f83a-4fa3-a0bd-aa52f29458f8	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	86290005	PALS_2025	Respiratory rate monitoring for adolescent patients per PALS 2020-2025 guidelines	t	2025-10-07		t
28784fc0-a74c-49c1-8436-b7d4fea2dd01	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	722490005	PALS_2025	Temperature monitoring for adolescent patients	t	2025-10-07		t
991cdfc1-8fe8-4d00-8fba-d54e3b7d7fa7	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	103228002	PALS_2025	Oxygen saturation monitoring for adolescent patients	t	2025-10-07		t
da08a63f-8198-43f1-8c46-1f077ad8973d	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	363808001	WHO_2023	Weight measurement for adolescent growth monitoring and BMI calculation	t	2025-10-07		t
3d827cb6-f6b3-432c-9305-f86b57dd9bc4	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	1153637007	WHO_2023	Height measurement for adolescent growth completion monitoring	t	2025-10-07		t
a53e2577-8cc4-4a34-9452-dd84ff1b638a	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	271649006	AAP_2017	Systolic BP using simplified thresholds for adolescents ≥13 years per AAP 2017 (Elevated: 120-129, HTN Stage 1: 130-139, Stage 2: ≥140)	t	2025-10-07		t
2c7f060d-efb5-4f9e-af43-674fe47ac748	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	4381	6934	271650006	AAP_2017	Diastolic BP using simplified thresholds for adolescents ≥13 years per AAP 2017 (HTN Stage 1: 80-89, Stage 2: ≥90)	t	2025-10-07		t
2f1ff945-411c-4cb0-a482-e420fb3c2ffa	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		1153637007	WHO_2023	Height measurement for adult health assessment and BMI calculation	t	2025-10-07		t
dc3d7314-4b0d-4821-8869-00271278355c	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		363808001	WHO_2023	Weight measurement for adult health assessment and BMI calculation	t	2025-10-07		t
672a12b3-d3e4-45e5-b287-2fc7915688dd	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		722490005	WHO_2023	Temperature monitoring for adult patients; fever >38°C (100.4°F)	t	2025-10-07		t
f4e8b87e-6029-4a74-bf16-1de7ffee4a7f	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		271649006	AHA_2025	Systolic blood pressure monitoring for adult patients per AHA/ACC 2025 guidelines; target <130 mmHg for most adults	t	2025-10-07		t
2e8ec776-73a7-4b0e-aba0-acb8fea5d8d3	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		271650006	AHA_2025	Diastolic blood pressure monitoring for adult patients per AHA/ACC 2025 guidelines; target <80 mmHg	t	2025-10-07		t
92c31d0b-7934-489c-a03b-0fa8af34f902	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		103228002	WHO_2023	Oxygen saturation monitoring for adult patients; normal ≥95% at sea level	t	2025-10-07		t
f417c708-5090-48c2-a4ea-66794fbab15a	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		405176005	ADA_2025	Blood glucose monitoring for diabetes screening and management per ADA 2025 standards; normal fasting 70-100 mg/dL	t	2025-10-07		t
3590d906-da3d-4862-9337-dea4a5213db6	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		8499008	AHA_2025	Heart rate monitoring for adult patients; normal resting 60-100 bpm	t	2025-10-07		t
8f17bd52-3f7b-42f1-8d87-3f2681777ada	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	6935		86290005	WHO_2023	Respiratory rate monitoring for adult patients; normal 12-20 breaths/minute	t	2025-10-07		t
